# Spin-echo spectrometer data file
# Start Time 12:7:21 11/9/2023

# System Status at:  12:7:21 11/9/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.698
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.4000E-08
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.050000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.707595
Psourse 3.08219e-05
p303 0.242421
p3053 0.001442
wika1 0.985755
wika2 -0.004152
wika3 1.015445
comp 0.042801
Gas:He3

channeltron voltage: 

# scan_1d(1.000000,0.264030,0.284030,41,1,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:0.264030
# max_value:0.284030
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:41
# numloops:1
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
3.867683e-10 2.640300e-01 2.640300e-01 0
3.926904e-10 2.645300e-01 2.645300e-01 0
3.761649e-10 2.650300e-01 2.650300e-01 0
3.841141e-10 2.655300e-01 2.655300e-01 0
3.832393e-10 2.660300e-01 2.660300e-01 0
3.900540e-10 2.665300e-01 2.665300e-01 0
3.937788e-10 2.670300e-01 2.670300e-01 0
3.938878e-10 2.675300e-01 2.675300e-01 0
3.901522e-10 2.680300e-01 2.680300e-01 0
3.941947e-10 2.685300e-01 2.685300e-01 0
3.996055e-10 2.690300e-01 2.690300e-01 0
3.879683e-10 2.695300e-01 2.695300e-01 0
3.907833e-10 2.700300e-01 2.700300e-01 0
3.881180e-10 2.705300e-01 2.705300e-01 0
3.882719e-10 2.710300e-01 2.710300e-01 0
3.890671e-10 2.715300e-01 2.715300e-01 0
3.942715e-10 2.720300e-01 2.720300e-01 0
3.850966e-10 2.725300e-01 2.725300e-01 0
3.918927e-10 2.730300e-01 2.730300e-01 0
3.951241e-10 2.735300e-01 2.735300e-01 0
3.841317e-10 2.740300e-01 2.740300e-01 0
3.870848e-10 2.745300e-01 2.745300e-01 0
3.897389e-10 2.750300e-01 2.750300e-01 0
3.931066e-10 2.755300e-01 2.755300e-01 0
3.893426e-10 2.760300e-01 2.760300e-01 0
3.914458e-10 2.765300e-01 2.765300e-01 0
3.940379e-10 2.770300e-01 2.770300e-01 0
3.803199e-10 2.775300e-01 2.775300e-01 0
3.913709e-10 2.780300e-01 2.780300e-01 0
3.897198e-10 2.785300e-01 2.785300e-01 0
3.807525e-10 2.790300e-01 2.790300e-01 0
3.906028e-10 2.795300e-01 2.795300e-01 0
3.955687e-10 2.800300e-01 2.800300e-01 0
3.828469e-10 2.805300e-01 2.805300e-01 0
3.876754e-10 2.810300e-01 2.810300e-01 0
3.955922e-10 2.815300e-01 2.815300e-01 0
3.874924e-10 2.820300e-01 2.820300e-01 0
3.887829e-10 2.825300e-01 2.825300e-01 0
3.844606e-10 2.830300e-01 2.830300e-01 0
3.903953e-10 2.835300e-01 2.835300e-01 0
3.889268e-10 2.840300e-01 2.840300e-01 0
# finish Time 12:8:41 11/9/2023
