# Spin-echo spectrometer data file
# Start Time 13:12:17 11/9/2023

# System Status at:  13:12:17 11/9/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.627
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.4100E-08
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.050000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.26956
Psourse 3.08219e-05
p303 0.242421
p3053 0.001470
wika1 0.985755
wika2 -0.001703
wika3 1.017400
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,0.264030,0.284030,41,1,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:0.264030
# max_value:0.284030
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:41
# numloops:1
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
3.521400e-10 2.640300e-01 2.640300e-01 0
3.495193e-10 2.645300e-01 2.645300e-01 0
3.476179e-10 2.650300e-01 2.650300e-01 0
3.537583e-10 2.655300e-01 2.655300e-01 0
3.523878e-10 2.660300e-01 2.660300e-01 0
3.514399e-10 2.665300e-01 2.665300e-01 0
3.513020e-10 2.670300e-01 2.670300e-01 0
3.517146e-10 2.675300e-01 2.675300e-01 0
3.479233e-10 2.680300e-01 2.680300e-01 0
3.427973e-10 2.685300e-01 2.685300e-01 0
3.496613e-10 2.690300e-01 2.690300e-01 0
3.473149e-10 2.695300e-01 2.695300e-01 0
3.481342e-10 2.700300e-01 2.700300e-01 0
3.478350e-10 2.705300e-01 2.705300e-01 0
3.485644e-10 2.710300e-01 2.710300e-01 0
3.464681e-10 2.715300e-01 2.715300e-01 0
3.475108e-10 2.720300e-01 2.720300e-01 0
3.485003e-10 2.725300e-01 2.725300e-01 0
3.533609e-10 2.730300e-01 2.730300e-01 0
3.518745e-10 2.735300e-01 2.735300e-01 0
3.477623e-10 2.740300e-01 2.740300e-01 0
3.505304e-10 2.745300e-01 2.745300e-01 0
3.451249e-10 2.750300e-01 2.750300e-01 0
3.474675e-10 2.755300e-01 2.755300e-01 0
3.473115e-10 2.760300e-01 2.760300e-01 0
3.454254e-10 2.765300e-01 2.765300e-01 0
3.506164e-10 2.770300e-01 2.770300e-01 0
3.435515e-10 2.775300e-01 2.775300e-01 0
3.542864e-10 2.780300e-01 2.780300e-01 0
3.514738e-10 2.785300e-01 2.785300e-01 0
3.572518e-10 2.790300e-01 2.790300e-01 0
3.478563e-10 2.795300e-01 2.795300e-01 0
3.494198e-10 2.800300e-01 2.800300e-01 0
3.504226e-10 2.805300e-01 2.805300e-01 0
3.472080e-10 2.810300e-01 2.810300e-01 0
3.513030e-10 2.815300e-01 2.815300e-01 0
3.474143e-10 2.820300e-01 2.820300e-01 0
3.550630e-10 2.825300e-01 2.825300e-01 0
3.496747e-10 2.830300e-01 2.830300e-01 0
3.507468e-10 2.835300e-01 2.835300e-01 0
3.485273e-10 2.840300e-01 2.840300e-01 0
# finish Time 13:13:37 11/9/2023
